#time step 
#_initial values (t,x[0],x[1])
71.000000 4.148120 -3.072411 
71.100000 3.821112 -3.462229 
71.200000 3.456840 -3.817093 
71.300000 3.058975 -4.133534 
71.400000 2.631518 -4.408466 
71.500000 2.178756 -4.639223 
71.600000 1.705221 -4.823579 
71.700000 1.215647 -4.959773 
71.800000 0.714916 -5.046525 
71.900000 0.208017 -5.083047 
72.000000 -0.300008 -5.069054 
72.100000 -0.804115 -5.004759 
72.200000 -1.299306 -4.890880 
72.300000 -1.780677 -4.728624 
72.400000 -2.243473 -4.519676 
72.500000 -2.683127 -4.266187 
72.600000 -3.095311 -3.970746 
72.700000 -3.475976 -3.636354 
72.800000 -3.821395 -3.266399 
72.900000 -4.128194 -2.864614 
73.000000 -4.393391 -2.435047 
73.100000 -4.614421 -1.982016 
73.200000 -4.789163 -1.510064 
73.300000 -4.915960 -1.023919 
73.400000 -4.993635 -0.528442 
73.500000 -5.021502 -0.028580 
73.600000 -4.999371 0.470683 
73.700000 -4.927551 0.964375 
73.800000 -4.806845 1.447590 
73.900000 -4.638543 1.915531 
74.000000 -4.424403 2.363560 
74.100000 -4.166643 2.787245 
74.200000 -3.867906 3.182403 
74.300000 -3.531243 3.545142 
74.400000 -3.160078 3.871899 
74.500000 -2.758171 4.159472 
74.600000 -2.329584 4.405060 
74.700000 -1.878639 4.606280 
74.800000 -1.409873 4.761198 
74.900000 -0.927993 4.868344 
75.000000 -0.437831 4.926727 
75.100000 0.055709 4.935844 
75.200000 0.547694 4.895685 
75.300000 1.033218 4.806731 
75.400000 1.507445 4.669952 
75.500000 1.965661 4.486791 
75.600000 2.403319 4.259154 
75.700000 2.816086 3.989389 
75.800000 3.199884 3.680260 
75.900000 3.550930 3.334921 
76.000000 3.865777 2.956884 
76.100000 4.141344 2.549981 
76.200000 4.374948 2.118328 
76.300000 4.564329 1.666283 
76.400000 4.707676 1.198400 
76.500000 4.803638 0.719385 
76.600000 4.851342 0.234050 
76.700000 4.850399 -0.252738 
76.800000 4.800908 -0.736106 
76.900000 4.703453 -1.211221 
77.000000 4.559098 -1.673338 
77.100000 4.369373 -2.117853 
77.200000 4.136262 -2.540343 
77.300000 3.862179 -2.936610 
77.400000 3.549946 -3.302729 
77.500000 3.202760 -3.635080 
77.600000 2.824165 -3.930386 
77.700000 2.418015 -4.185749 
77.800000 1.988431 -4.398673 
77.900000 1.539765 -4.567092 
78.000000 1.076552 -4.689389 
78.100000 0.603465 -4.764411 
78.200000 0.125269 -4.791482 
78.300000 -0.353226 -4.770409 
78.400000 -0.827216 -4.701478 
78.500000 -1.291950 -4.585459 
78.600000 -1.742778 -4.423592 
78.700000 -2.175196 -4.217574 
78.800000 -2.584891 -3.969545 
78.900000 -2.967788 -3.682062 
79.000000 -3.320086 -3.358075 
79.100000 -3.638296 -3.000897 
79.200000 -3.919279 -2.614170 
79.300000 -4.160275 -2.201825 
79.400000 -4.358929 -1.768049 
79.500000 -4.513317 -1.317235 
79.600000 -4.621960 -0.853944 
79.700000 -4.683845 -0.382853 
79.800000 -4.698429 0.091286 
79.900000 -4.665646 0.563699 
80.000000 -4.585905 1.029634 
80.100000 -4.460091 1.484412 
80.200000 -4.289547 1.923473 
80.300000 -4.076067 2.342418 
80.400000 -3.821874 2.737061 
80.500000 -3.529597 3.103462 
80.600000 -3.202246 3.437972 
80.700000 -2.843178 3.737269 
80.800000 -2.456066 3.998387 
80.900000 -2.044860 4.218751 
81.000000 -1.613747 4.396198 
81.100000 -1.167110 4.529000 
81.200000 -0.709479 4.615883 
81.300000 -0.245492 4.656035 
81.400000 0.220158 4.649116 
81.500000 0.682765 4.595262 
81.600000 1.137664 4.495081 
